[framework] 2016-09-06 19:58:19,912 - io.netty.util.internal.logging.InternalLoggerFactory -0    [main] DEBUG io.netty.util.internal.logging.InternalLoggerFactory  - Using SLF4J as the default logging framework
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.normalCacheSize: 64
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.maxCachedBufferCapacity: 32768
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.cacheTrimInterval: 8192
  [framework] 2016-09-06 19:58:20,267 - io.netty.buffer.ByteBufUtil -355  [main] DEBUG io.netty.buffer.ByteBufUtil  - -Dio.netty.allocator.type: pooled
  [framework] 2016-09-06 19:58:20,267 - io.netty.buffer.ByteBufUtil -355  [main] DEBUG io.netty.buffer.ByteBufUtil  - -Dio.netty.threadLocalDirectBufferSize: 65536
  [framework] 2016-09-06 19:58:20,267 - io.netty.buffer.ByteBufUtil -355  [main] DEBUG io.netty.buffer.ByteBufUtil  - -Dio.netty.maxThreadLocalCharBufferSize: 16384
  [framework] 2016-09-06 19:58:20,296 - io.netty.handler.logging.LoggingHandler -384  [nioEventLoopGroup-2-1] INFO  io.netty.handler.logging.LoggingHandler  - [id: 0x954520f1] REGISTERED
  [framework] 2016-09-06 19:58:20,298 - io.netty.handler.logging.LoggingHandler -386  [nioEventLoopGroup-2-1] INFO  io.netty.handler.logging.LoggingHandler  - [id: 0x954520f1] BIND: 0.0.0.0/0.0.0.0:8085
  [framework] 2016-09-06 19:58:20,301 - io.netty.handler.logging.LoggingHandler -389  [nioEventLoopGroup-2-1] INFO  io.netty.handler.logging.LoggingHandler  - [id: 0x954520f1, L:/0:0:0:0:0:0:0:0:8085] ACTIVE
  
